[0.001] [INFO ] [Game] (Game.cpp:37 in initialize) Logger online
[0.276] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.276] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.277] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.277] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.278] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.278] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.278] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.278] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.279] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.279] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.279] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
[0.279] [DEBUG] [Collision] (CollisionSystem.cpp:43 in update) Ship hit asteroid!
